seed,p_energy,p_wasserstein,d_ks2d,d_kl
19300,0.06810000000000001,0.06,0.1265,0.5276965861627881
13147,0.053025,0.07,0.1235,0.5470402191986021
13098,0.05605,0.47,0.11649999999999999,0.5212599050131541
17232,0.052774999999999996,0.125,0.128,0.5506553822176871
11164,0.06225000000000001,0.095,0.13000000000000003,0.5288347996142472
11701,0.0579,0.22,0.11850000000000001,0.5311219829697761
10231,0.056675,0.005,0.13849999999999998,0.5313719949817228
12889,0.05225000000000001,0.065,0.1165,0.5406627302206788
14289,0.053399999999999996,0.005,0.144,0.5571592469927774
12611,0.056725000000000005,0.12,0.141,0.5486169715444282
10474,0.05310000000000001,0.275,0.14400000000000002,0.5666615828605142
18194,0.06555000000000001,0.025,0.12,0.5373529453222191
12154,0.056075,0.17,0.14,0.5432017612601931
13412,0.07155,0.045,0.14350000000000002,0.5571515616804184
18263,0.06237500000000001,0.035,0.1255,0.5324618919377615
13466,0.063325,0.03,0.12,0.5385480130010059
15544,0.058324999999999995,0.01,0.13400000000000004,0.5462289557658517
13542,0.05392500000000001,0.005,0.1255,0.5658373893600828
15818,0.061025,0.03,0.12999999999999998,0.552899875171317
14992,0.05985,0.335,0.13,0.5600436473155719
15099,0.04880000000000001,0.02,0.1395,0.5626509488101401
13089,0.06405,0.025,0.1385,0.5321519165981191
18920,0.057775,0.07,0.13150000000000003,0.5656895689667201
16336,0.055775000000000005,0.005,0.1445,0.5694176418553978
14030,0.05235,0.045,0.125,0.5137050722890598
10527,0.06065,0.03,0.1185,0.5442356035282495
19748,0.064825,0.055,0.11449999999999999,0.5427295956264657
19708,0.058425000000000005,0.095,0.15600000000000003,0.5175866239808804
14068,0.064225,0.055,0.14350000000000002,0.5348997975048073
13926,0.056299999999999996,0.04,0.134,0.5443695884012383
19397,0.058725000000000006,0.145,0.1015,0.5368709628407482
12348,0.0626,0.105,0.15349999999999997,0.5279765182177756
12768,0.057975000000000006,0.1,0.1215,0.531455153369908
17266,0.062525,0.005,0.14049999999999999,0.519240343281853
15147,0.0651,0.01,0.14049999999999999,0.54958417075775
18741,0.060525,0.005,0.14150000000000001,0.5307064864374245
12072,0.05207500000000001,0.01,0.13649999999999998,0.5636064659292215
12030,0.058550000000000005,0.05,0.13349999999999998,0.5428795132992311
12994,0.05907500000000001,0.09,0.123,0.5599555153690956
15760,0.06512500000000002,0.02,0.15149999999999997,0.549251286575019
18945,0.059125000000000004,0.005,0.11750000000000001,0.5409194582310659
